member_en,member_ch,constituency_en,constituency_ch,party_en,party_ch,caucus_en,caucus_ch,all_dim1,all_dim2,council_dim1,council_dim2,finance_dim1,finance_dim2,house_dim1,house_dim2
abrahamshek,石禮謙,functional,功能,bpa,經民聯,establishment,建制,-0.457863856374872,0.235375072333339,0.291342009458476,-0.180853791786465,0.170706809005591,-0.220693220827408,-0.410024360244344,-0.0371675026833097
alicemak,麥美娟,geographical,地區,ftu,工聯會,establishment,建制,-0.615493203854867,-0.166755772793748,0.379862097923103,0.0519723718863851,0.371822786134335,0.0452991786999297,-0.442348286068331,-0.0128217894287509
alvinyeung,楊岳橋,geographical,地區,civic,公民黨,pandemocratic,泛民,0.83570757212548,0.185945104074839,-0.56619051901941,-0.0471688205824146,-0.432308864402841,-0.0613312538402392,0.59879092536449,0.0131062735234726
andrewleung,梁君彥,functional,功能,bpa,經民聯,establishment,建制,0.331178243804802,-1.44742622308007,-0.0831198277586377,0.906892368105831,,,,
andrewwan,尹兆堅,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.848258427133897,0.107120401982124,-0.544610997804646,-0.110604472855938,-0.450012802092522,0.0737618610913983,0.602330820112955,0.0154981161927385
aunokhin,區諾軒,geographical,地區,independent,獨立人士,pandemocratic,泛民,0.936195393600327,-0.197862178893172,-0.619547240582018,0.152247149381687,-0.451453353668014,0.189413192478783,0.59516840413137,-0.0076549548298122
chanchichuen,陳志全,geographical,地區,peoplepower,人民力量,pandemocratic,泛民,1.01272603416125,-0.0956315550360888,-0.622512992129828,0.162440671423184,-0.520985210030566,0.107130051290141,0.596425910932294,0.0153159591813916
chanchunying,陳振英,functional,功能,independent,獨立人士,establishment,建制,-0.675784925932561,-0.15690074822408,0.421301984481579,0.0114625450538004,0.375466511466012,0.122402060330424,-0.445829322912212,-0.0103133559499604
chanhakkan,陳克勤,geographical,地區,dab,民建聯,establishment,建制,-0.615379630219523,-0.115728767267784,0.385940901751405,0.0147220254637671,0.347098560262173,-0.0111541384874069,-0.441151058455183,-0.0141687524556273
chanhanpan,陳恒鑌,geographical,地區,dab,民建聯,establishment,建制,-0.552876096731701,-0.147271407559157,0.368456187116926,0.0221642863112952,0.262054045841588,0.0676490234588159,-0.443128270546468,-0.0228761741915049
chanhoiyan,陳凱欣,geographical,地區,independent,獨立人士,establishment,建制,-0.617497715974437,-0.130307067402041,0.371893481006126,-0.00163321839573337,0.335038860592736,0.0923837752855834,-0.440611326740298,-0.0135371356942028
chankinpor,陳健波,functional,功能,independent,獨立人士,establishment,建制,-0.634257899994382,-0.551559905104889,0.420850633902492,0.00659196467474758,-0.0873678145491275,0.787792542043336,-0.442365548783111,-0.0189492261015574
charlespetermok,莫乃光,functional,功能,profcommons,公專聯,pandemocratic,泛民,0.676978506879767,0.2506693626016,-0.423809569023798,-0.118046987866362,-0.399648163038314,-0.11723567208447,0.593745216932577,0.0142316998237634
chengchungtai,鄭松泰,geographical,地區,civicpassion,熱血公民,independent,獨立或其他,1.03613025472548,-0.130459147698077,-0.620753547874004,0.20769087708957,-0.538371941292037,0.120385528757402,0.594451763721642,0.0166041277894284
cheungkwokkwan,張國鈞,geographical,地區,dab,民建聯,establishment,建制,-0.652963698830137,-0.108102393719759,0.401591344592983,0.0106687887355627,0.365076320895429,0.0283979486078485,-0.447199660049009,-0.0160636111523067
chianglaiwan,蔣麗芸,geographical,地區,dab,民建聯,establishment,建制,-0.574513255785427,0.0141062249062785,0.357213064671239,-0.0346203710796024,0.286323219756281,-0.0632405376103782,-0.447371000532278,-0.0244561143994077
christophercheung,張華峰,functional,功能,bpa,經民聯,establishment,建制,-0.677621985617554,-0.0887860893799932,0.431456456256422,0.0242805783419337,0.347662076168506,0.0460248799973761,-0.444949437975616,-0.00923392103889068
chuhoidick,朱凱廸,geographical,地區,independent,獨立人士,pandemocratic,泛民,0.978812943497369,-0.0105771976206984,-0.60762555723281,0.0730441238825967,-0.511047080651235,0.119017755574068,0.604007033421838,-0.00125760152909521
chungkwokpan,鍾國斌,functional,功能,liberal,自由黨,establishment,建制,-0.388649425452148,0.262473295939318,0.212367921002127,-0.123392506685047,0.123828448869159,-0.316184621264103,-0.430969956667483,-0.118358706698964
claudiamo,毛孟靜,geographical,地區,hkfirst,香港本土,pandemocratic,泛民,0.935733464932153,0.0593883797010708,-0.585463011523835,0.0302103251446541,-0.489771181245556,0.0551191506998804,0.594480823774723,0.00958304437031424
denniskwok,郭榮鏗,functional,功能,civic,公民黨,pandemocratic,泛民,0.653515313240282,0.504348792959843,-0.514996110673925,-0.216602235333002,-0.245277174605112,-0.326952279937157,0.594527128851572,0.0134915427402892
elizabethquat,葛珮帆,geographical,地區,dab,民建聯,establishment,建制,-0.628728542492466,-0.134655593226285,0.388684563101033,0.00860606619613225,0.35393915963659,0.0555807711589701,-0.44525695887345,-0.0154923285967969
fernandocheung,張超雄,geographical,地區,labour,工黨,pandemocratic,泛民,0.928466831235799,0.0482829041023601,-0.585901613378859,0.0647813870896724,-0.489129474564325,-0.00353956284399331,0.596709317285237,0.0398658443586692
frankieyick,易志明,functional,功能,liberal,自由黨,establishment,建制,-0.669683193892488,-0.132043493565828,0.426861382833549,-0.00421931246859154,0.372124037621914,0.0674902648152016,-0.444146379411374,-0.0185418979135402
garyfan,范國威,geographical,地區,neodemocrats,新民主同盟,pandemocratic,泛民,0.926730482438853,-0.132368207543208,-0.613167342613064,0.13368088974728,-0.413175144799669,0.155869265737312,0.604134030829206,0.00133074043085139
helenawong,黃碧雲,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.780849819609851,0.210050190748034,-0.516597506396821,-0.125902911966167,-0.418459607828179,-0.0795011202932792,0.604618025326939,0.0206313947681847
hokaiming,何啟明,functional,功能,ftu,工聯會,establishment,建制,-0.644052876105584,-0.15010398557282,0.396706963651785,0.0352135049394179,0.372988614549868,0.0781509112059624,-0.442657858809985,-0.0142485673035624
holdenchow,周浩鼎,functional,功能,dab,民建聯,establishment,建制,-0.6388674425711,-0.140654856798978,0.386453871469135,0.00730721820448457,0.3644654218153,0.0988812592947525,-0.444630084491235,-0.00937476138359696
huichifung,許智峯,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.798143776933906,0.331900264125746,-0.522282552494577,-0.181283651964169,-0.430686221306664,-0.121905173257459,0.598129146596846,-0.0233293511321746
ipkinyuen,葉建源,functional,功能,ptu,教協,pandemocratic,泛民,0.661762206790531,0.363975061176813,-0.460296889980195,-0.130512053096866,-0.311935946852049,-0.263185216553569,0.602608110417667,0.0296707563387919
jamesto,涂謹申,functional,功能,democratic,民主黨,pandemocratic,泛民,0.73312461674653,0.437428154304049,-0.51560499495318,-0.235497190667549,-0.367703565020833,-0.220272192593438,0.586644541799102,0.0830811978803112
jeffreylam,林健鋒,functional,功能,bpa,經民聯,establishment,建制,-0.653674854282523,0.0120508664986726,0.424200350341821,-0.0589832714222354,0.330348275512508,-0.0419583675425244,-0.438976484645648,-0.0388074677263113
jeremytam,譚文豪,geographical,地區,civic,公民黨,pandemocratic,泛民,0.9138307423252,0.00682805272114578,-0.589608155571727,0.0529431233549163,-0.470677851919351,0.082969629166362,0.597599367798392,0.0228501852720984
jimmyng,吳永嘉,functional,功能,independent,獨立人士,establishment,建制,-0.665356260954887,-0.0119317050426935,0.438675303208439,-0.0163741387713502,0.317844714919126,-0.054755968092821,-0.445652835637012,-0.015512729678817
josephlee,李國麟,functional,功能,independent,獨立人士,pandemocratic,泛民,0.581080348632908,0.456063921825257,-0.431571948769872,-0.205284776907687,-0.277527090236396,-0.281833037638166,0.590641146359191,0.0437092495800375
juniusho,何君堯,geographical,地區,independent,獨立人士,establishment,建制,-0.620887016998239,0.0692141326020796,0.430941090926434,0.0710745960356909,0.253827368123462,-0.177525884070151,-0.441912114501708,-0.0329348258878645
kennethlau,劉業強,functional,功能,bpa,經民聯,establishment,建制,-0.585737642033317,0.218631499915099,0.397142689007075,0.176262593285571,0.188542141076967,-0.188402153294529,-0.439011516168003,0.0179520312532079
kennethleung,梁繼昌,functional,功能,profcommons,公專聯,pandemocratic,泛民,0.567186189689517,0.431071418055499,-0.408550757500938,-0.178588784980135,-0.253199165669061,-0.313869094354757,0.599539281241904,0.00241135797326083
kwokkaki,郭家麒,geographical,地區,civic,公民黨,pandemocratic,泛民,0.840380480075846,0.210812868040029,-0.586196213262737,-0.0108305903391791,-0.373538605040569,-0.160178476985282,0.596818567403182,0.0441441657279372
kwokwaikeung,郭偉强,geographical,地區,ftu,工聯會,establishment,建制,-0.601013938882347,-0.120848670765961,0.380972377163892,0.023162870895894,0.346817875436984,0.0195607851128966,-0.440280537010178,-0.0120305658900983
kwongchunyu,鄺俊宇,functional,功能,democratic,民主黨,pandemocratic,泛民,0.857390795405618,0.0916801555277121,-0.530900331403182,-0.0843747927723117,-0.476672782737946,0.0641611225831905,0.592763214437957,0.0152610483161163
lamcheukting,林卓廷,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.841564094111035,0.102983677856554,-0.523521706921685,-0.0931070272890032,-0.468780765026552,0.052211990722053,0.601524781651556,0.0150781972704751
laukwokfan,劉國勳,functional,功能,dab,民建聯,establishment,建制,-0.670584419272409,-0.110399855997274,0.414652075677609,0.0244875477627141,0.378268698987712,0.0298591062812939,-0.442071816842762,-0.0147112346707651
lausiulai,劉小麗,geographical,地區,independent,獨立人士,pandemocratic,泛民,1.05084064139133,-0.23682594192152,-0.557544746172646,0.36526334280955,-0.539088392666347,0.0951354671165082,0.593921354572375,0.0167134742529496
leungchecheung,梁志祥,geographical,地區,dab,民建聯,establishment,建制,-0.646894716945418,-0.117815398750041,0.40759630723514,0.0263512264134028,0.36144836541207,0.0613165646315525,-0.445428157318529,-0.0232882094003612
leungkwokhung,梁國雄,geographical,地區,lsd,社民連,pandemocratic,泛民,1.04052456594807,-0.213480864907433,-0.550874089966887,0.318089750804521,-0.546813725214664,0.149904150776748,0.594888975042959,0.0136728955108619
leungyiuchung,梁耀忠,functional,功能,nwsc,街工,pandemocratic,泛民,0.919923648852137,0.125103089235213,-0.599463390930986,-5.53780553488061e-05,-0.452848032184291,-0.0193490689088144,0.606019845712917,-0.00426627834755889
lowaikwok,盧偉國,functional,功能,bpa,經民聯,establishment,建制,-0.651556847632982,-0.125071419481382,0.414518033558925,0.0125017156041563,0.331621684855738,0.100911013959606,-0.442425673881503,-0.0159014973597371
lukchunghung,陸頌雄,functional,功能,ftu,工聯會,establishment,建制,-0.607430460334084,-0.146372939988765,0.368146694491722,0.0272785314826687,0.353463722501998,0.0773313357137374,-0.441389664969287,-0.0173910412417302
mafungkwok,馬逢國,functional,功能,newforum,新世紀論壇,establishment,建制,-0.472841953580977,-0.0514792635214102,0.216724590379053,-0.0426414071673362,0.312033366756038,0.023936161987078,-0.444534601103316,-0.0206113582456642
martinliao,廖長江,functional,功能,independent,獨立人士,establishment,建制,-0.648632658039323,-0.0203834119963993,0.420865067742361,-0.0362872249842115,0.35465943342968,-0.038513653267411,-0.440868637519278,-0.0149670224415794
michaeltien,田北辰,geographical,地區,roundtable,實政圓桌,establishment,建制,-0.4099154998236,0.305780224457469,0.214200520305811,-0.187630899941337,0.25176604150211,-0.250038717547603,-0.210279048134634,-0.493425842945735
nathanlaw,羅冠聰,geographical,地區,demosisto,香港眾志,pandemocratic,泛民,1.03512608495233,-0.0751897964583911,-0.558602603965924,0.241493574462257,-0.52387263578563,0.137169799016036,0.595322688261125,0.0242863027649718
paultse,謝偉俊,geographical,地區,independent,獨立人士,pandemocratic,建制,-0.401641695653717,0.179111276535491,0.278277533995087,-0.153972532503862,0.150690740532243,-0.263361607254676,-0.431740335183091,0.00799027617740777
pierrechan,陳沛然,functional,功能,independent,獨立人士,independent,獨立或其他,0.205865986678079,0.499878505430291,-0.103388862316428,-0.256558728575947,-0.159227800337629,-0.326882090986279,0.580342350469676,-0.126152214808629
poonsiuping,潘兆平,functional,功能,flu,勞聯,establishment,建制,-0.642358980745535,-0.157758159403819,0.390679933152128,0.0258148591094702,0.371119155059131,0.103398721666391,-0.440202339157465,-0.0195587634090362
priscillaleung,梁美芬,geographical,地區,bpa,經民聯,establishment,建制,-0.524280559907015,0.0115291154898795,0.382314118248913,-0.0337029340777849,0.191691401691643,-0.148512571352059,-0.463327353020853,-0.0242779889279362
reginaip,葉劉淑儀,geographical,地區,npp,新民黨,establishment,建制,-0.520161143147681,0.0729973835971807,0.346757567960958,-0.100596619366092,0.234670291189486,-0.10662348349342,-0.450173696683293,0.00919656304972198
shiukachun,邵家臻,functional,功能,independent,獨立人士,pandemocratic,泛民,0.900925316444899,0.177100172335743,-0.567787064132413,0.0100590779301981,-0.471221239550682,-0.0139711582709073,0.588296540543848,-0.0207552875878437
shiukafai,邵家輝,functional,功能,liberal,自由黨,establishment,建制,-0.672209053799331,-0.0839792529241412,0.42623141283426,-0.000711560471445114,0.324801150938954,0.079245813014647,-0.445269549319638,-0.00853624449181675
starrylee,李慧琼,functional,功能,dab,民建聯,establishment,建制,-0.601266034205617,-0.212572701718286,0.391581979287224,0.0527679589172509,0.35866405804586,-0.00512322015203797,0.0139479646162084,0.889233750075389
stevenho,何俊賢,functional,功能,dab,民建聯,establishment,建制,-0.659717931996534,-0.114613223512151,0.419756243505924,0.0276401410468019,0.337750243195585,0.0561684517204953,-0.443535415883771,-0.0219892580117379
tanyachan,陳淑莊,geographical,地區,civic,公民黨,pandemocratic,泛民,0.853696017230593,0.251948429192427,-0.594107658945222,-0.118615678473979,-0.40170492174476,-0.0481026391519705,0.592406203767758,0.012416863060093
tommycheung,張宇人,functional,功能,liberal,自由黨,establishment,建制,-0.55797281012013,-0.0937862827772029,0.334577577029978,-0.0530392848900902,0.347154905151198,0.0934743420309063,-0.441059844348142,-0.01843744202714
tonytse,謝偉銓,functional,功能,independent,獨立人士,establishment,建制,-0.625093573903417,-0.104885350130491,0.400968529910622,-0.0216387353629724,0.30661404636356,0.10295604627302,-0.449023778859649,-0.00264714422446842
vincentcheng,鄭泳舜,geographical,地區,dab,民建聯,establishment,建制,-0.600768687800681,-0.106211922684746,0.381998347872976,-0.0054464296392541,0.287047649438407,0.114858426719021,-0.440365560539379,-0.0184975442657621
wilsonor,柯創盛,geographical,地區,dab,民建聯,establishment,建制,-0.650119637930406,-0.135168777776688,0.406074921732159,0.0152374364123503,0.366532301329393,0.0646594640504663,-0.440860723558747,-0.0178017003432244
wongkwokkin,黃國健,geographical,地區,ftu,工聯會,establishment,建制,-0.63312335817377,-0.151235773459024,0.392154235595075,0.0425273713727151,0.366911005444522,0.0808821550037146,-0.441080508536488,-0.0196749368478881
wongtingkwong,黃定光,functional,功能,dab,民建聯,establishment,建制,-0.667489244244624,-0.142723321201372,0.40600733959084,0.0200776180376787,0.376351030919544,0.0803244490017305,-0.440882695968298,-0.0183713959541718
wuchiwai,胡志偉,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.786231571450041,0.257194886589493,-0.518070243297961,-0.120002631006101,-0.414456219310818,-0.105243911760578,0.585879641650586,0.0125037999344056
yiuchungyim,姚松炎,functional,功能,independent,獨立人士,pandemocratic,泛民,0.851417139273992,0.308021983232701,-0.418914192314464,-0.164216880331346,-0.529029119690776,0.161387046177436,0.600847261495646,0.00244547806322741
yiusiwing,姚思榮,functional,功能,independent,獨立人士,establishment,建制,-0.646637029732805,-0.136974847309831,0.403178796386975,-0.00433782666475625,0.355512531261885,0.0959597885282049,-0.440153062238564,-0.0191168523755805
yunghoiyan,容海恩,geographical,地區,npp,新民黨,establishment,建制,-0.638697750347255,-0.0921613958776548,0.411405738552895,0.000325181331865575,0.31124482137123,0.110908841936609,-0.444384922934131,0.00523426391414762
